timestamp, Room, message
2023-09-05 09:54:39, MP 6310, 1
2023-09-05 09:54:39, MP 7107, 1
2023-09-05 09:54:39, MP 7201, 1
2023-09-05 09:54:39, MP 7202, 1
2023-09-05 09:54:39, MP 7310, 1
2023-09-05 09:54:39, MP 7366, 1
2023-09-05 09:54:39, MP 8309, 1
2023-09-05 09:54:39, MP 8322, 1
2023-09-05 09:54:39, MC 6.52, 1
2023-09-05 09:54:39, Liberty, 1
2023-09-05 09:54:39, Wall St, 1
2023-09-05 09:54:39, Grammercy, 1
2023-09-05 09:54:39, MC 7.85, 1
2023-09-05 09:54:39, High Line, 1
2023-09-05 09:54:39, Union Square, 1
2023-09-05 09:54:39, MC 8.52, 1
2023-09-05 09:54:39, Rock Center, 1
2023-09-05 09:54:39, Bryant Park, 1
2023-09-05 09:54:39, MC 9.52, 1
2023-09-05 09:54:39, Moma, 1
2023-09-05 09:54:39, Columbus Circle, 1
2023-09-05 09:54:39, MC 10.52, 1
2023-09-05 09:54:39, The Met, 1
2023-09-05 09:54:39, Apollo, 1
2023-09-05 09:46:06, Conf 29E 55, 1
2023-09-05 09:46:06, Conf 29W 24, 1
2023-09-05 09:46:06, Conf 30E 55, 1
2023-09-05 09:46:06, Conf 30E 02, 1
2023-09-05 09:46:06, Conf 30W 09, 1
2023-09-05 09:46:06, MP TR B, 1
2023-09-05 09:46:06, MP TR A, 0
2023-09-05 09:46:06, MP 6002, 1
2023-09-05 09:46:06, MP 6003, 1
2023-09-05 09:46:06, MP 6107, 1
2023-09-05 09:46:06, MP 6203, 1
2023-09-05 09:46:06, MP 6255, 1
2023-09-05 09:46:06, MP 6309, 1
2023-09-05 09:46:06, MP 6310, 1
2023-09-05 09:46:06, MP 7107, 1
2023-09-05 09:46:06, MP 7201, 1
2023-09-05 09:46:06, MP 7202, 1
2023-09-05 09:46:06, MP 7310, 1
2023-09-05 09:46:06, MP 7366, 1
2023-09-05 09:46:06, MP 8309, 1
2023-09-05 09:46:06, MP 8322, 1
2023-09-05 09:46:06, MC 6.52, 1
2023-09-05 09:46:06, Liberty, 1
2023-09-05 09:46:06, Wall St, 1
2023-09-05 09:46:06, Grammercy, 1
2023-09-05 09:46:06, MC 7.85, 1
2023-09-05 09:46:06, High Line, 1
2023-09-05 09:46:06, Union Square, 1
2023-09-05 09:46:06, MC 8.52, 1
2023-09-05 09:46:06, Rock Center, 1
2023-09-05 09:46:06, Bryant Park, 1
2023-09-05 09:46:06, MC 9.52, 1
2023-09-05 09:46:06, Moma, 1
2023-09-05 09:46:06, Columbus Circle, 1
2023-09-05 09:46:06, MC 10.52, 1
2023-09-05 09:46:06, The Met, 1
2023-09-05 09:46:06, Apollo, 1
2023-09-05 09:19:19, Conf 29E 55, 1
2023-09-05 09:19:19, Conf 29W 24, 1
2023-09-05 09:19:19, Conf 30E 55, 1
2023-09-05 09:19:19, Conf 30E 02, 1
2023-09-05 09:19:19, Conf 30W 09, 1
2023-09-05 09:19:19, MP TR B, 1
2023-09-05 09:19:19, MP TR A, 0
2023-09-05 09:19:19, MP 6002, 1
2023-09-05 09:19:19, MP 6003, 1
2023-09-05 09:19:19, MP 6107, 1
2023-09-05 09:19:19, MP 6203, 1
2023-09-05 09:19:19, MP 6255, 1
2023-09-05 09:19:19, MP 6309, 1
2023-09-05 09:19:19, MP 6310, 1
2023-09-05 09:19:19, MP 7107, 1
2023-09-05 09:19:19, MP 7201, 1
2023-09-05 09:19:19, MP 7202, 1
2023-09-05 09:19:19, MP 7310, 1
2023-09-05 09:19:19, MP 7366, 1
2023-09-05 09:19:19, MP 8309, 1
2023-09-05 09:19:19, MP 8322, 1
2023-09-05 09:19:19, MC 6.52, 1
2023-09-05 09:19:19, Liberty, 1
2023-09-05 09:19:19, Wall St, 1
2023-09-05 09:19:19, Grammercy, 1
2023-09-05 09:19:19, MC 7.85, 1
2023-09-05 09:19:19, High Line, 0
2023-09-05 09:19:19, Union Square, 1
2023-09-05 09:19:19, MC 8.52, 0
2023-09-05 09:19:19, Rock Center, 1
2023-09-05 09:19:19, Bryant Park, 1
2023-09-05 09:19:19, MC 9.52, 1
2023-09-05 09:19:19, Moma, 1
2023-09-05 09:19:19, Columbus Circle, 1
2023-09-05 09:19:19, MC 10.52, 1
2023-09-05 09:19:19, The Met, 1
2023-09-05 09:19:19, Apollo, 1
